ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,116,3514.8333333333335,439.8333333333333,0,116,0,0
1,117,1683.5,442.5,0,117,245,0
1,118,2545.5,444.5,0,118,262,0
1,119,1512.0,445.0,0,119,253,0
1,120,3521.5,444.5,0,120,0,0
1,121,1507.5,447.0,0,121,253,0
1,122,2138.0,447.0,0,122,269,0
1,123,2114.5,447.0,0,123,269,0
1,124,2122.0,449.5,0,124,269,0
1,125,2134.4,448.8,0,125,269,0
1,126,1535.5,449.5,0,126,253,0
1,127,2109.3333333333335,453.3333333333333,0,127,269,0
1,128,2187.1666666666665,453.8333333333333,0,128,247,0
1,129,2101.0,455.0,0,129,0,0
1,130,1796.5,456.5,0,130,273,0
1,131,2219.285714285714,456.0,0,131,249,0
1,132,2310.0,456.0,0,132,241,0
1,133,3503.4,456.2,0,133,0,0
1,134,1677.5,457.0,0,134,245,0
1,135,3367.6666666666665,456.3333333333333,0,135,0,0
1,136,2135.0,458.0,0,136,269,0
1,137,1531.5,459.5,0,137,253,0
1,138,3164.8,459.4,0,138,243,0
1,139,3185.2,458.6,0,139,243,0
1,140,1684.0,462.5,0,140,245,0
1,141,2151.0,462.2857142857143,0,141,254,0
1,142,3418.0,464.0,0,142,257,0
1,143,2226.0,465.5,0,143,270,0
1,144,1822.1666666666667,467.8333333333333,0,144,271,0
1,145,2252.0,468.0,0,145,270,0
1,146,3740.0,468.0,0,146,275,0
1,147,1684.5,469.5,0,147,281,0
1,148,2115.0,469.5,0,148,269,0
1,149,2196.8,471.4,0,149,279,0
1,150,1792.5,473.5,0,150,273,0
1,151,1789.857142857143,473.7142857142857,0,151,273,0
1,152,2153.0,473.75,0,152,269,0
1,153,2167.5,474.5,0,153,254,0
1,154,2093.5,477.5,0,154,0,0
1,155,3760.0,478.0,0,155,275,0
1,156,1416.2857142857142,480.0,0,156,274,0
1,157,2203.0,479.5,0,157,279,0
1,158,2778.5,480.0,0,158,277,0
1,159,1879.5,481.5,0,159,0,0
1,160,1665.2857142857142,484.0,0,160,281,0
1,161,2074.0,484.2857142857143,0,161,278,0
1,162,3576.5,486.0,0,162,294,0
1,163,2179.8333333333335,486.8333333333333,0,163,279,0
1,164,1814.5,489.0,0,164,284,0
1,165,2159.6666666666665,489.6666666666667,0,165,269,0
1,166,2183.714285714286,489.0,0,166,290,0
1,167,2939.0,491.5,0,167,291,0
1,168,2492.0,495.0,0,168,295,0
1,169,2390.714285714286,496.0,0,169,287,0
1,170,2469.5,502.0,0,170,289,0
1,171,1836.5,505.5,0,171,300,0
1,172,1302.0,509.2857142857143,0,172,0,0
1,173,2753.8333333333335,512.1666666666666,0,173,0,0
1,174,1644.0,513.25,0,174,298,0
1,175,1240.5,515.0,0,175,0,0
1,176,2282.0,516.0,0,176,316,0
1,177,2310.8,516.4,0,177,304,0
1,178,3387.5,519.0,0,178,342,0
1,179,1426.0,520.5,0,179,0,0
1,180,1907.3333333333333,520.1666666666666,0,180,324,0
1,181,1220.1666666666667,521.1666666666666,0,181,314,0
1,182,1789.8,522.4,0,182,313,0
1,183,2956.5,522.0,0,183,303,0
1,184,1911.0,523.0,0,184,324,0
1,185,1644.0,526.2857142857143,0,185,307,0
1,186,3390.5,526.5,0,186,342,0
1,187,2077.0,526.7142857142857,0,187,317,0
1,188,1653.0,528.5,0,188,307,0
1,189,1973.5,529.0,0,189,308,0
1,190,1804.2,533.6,0,190,313,0
1,191,2201.5,534.0,0,191,0,0
1,192,1383.2,536.6,0,192,346,0
1,193,1761.0,538.0,0,193,321,0
1,194,1574.0,539.5,0,194,349,0
1,195,2044.6666666666667,540.3333333333334,0,195,315,0
1,196,3083.5,540.0,0,196,347,0
1,197,3071.5,541.5,0,197,336,0
1,198,3500.0,543.5,0,198,344,0
1,199,3007.0,548.7142857142857,0,199,379,0
1,200,3385.5,548.5,0,200,342,0
1,201,1641.0,551.0,0,201,355,0
1,202,3069.2,550.4,0,202,347,0
1,203,1495.3333333333333,552.8333333333334,0,203,367,0
1,204,1916.5,553.5,0,204,343,0
1,205,2062.0,554.7142857142857,0,205,317,0
1,206,1586.5,556.5,0,206,349,0
1,207,3577.5,555.5,0,207,375,0
1,208,1496.8,556.6,0,208,367,0
1,209,1921.5,557.0,0,209,343,0
1,210,2916.4,556.8,0,210,392,0
1,211,2465.0,559.5,0,211,396,0
1,212,3649.0,559.5,0,212,354,0
1,213,1652.7142857142858,560.0,0,213,355,0
1,214,1471.5,562.0,0,214,367,0
1,215,1514.5,561.5,0,215,371,0
1,216,2808.6666666666665,562.3333333333334,0,216,341,0
1,217,3203.0,563.5,0,217,0,0
1,218,2584.4,563.8,0,218,391,0
1,219,3085.0,565.0,0,219,347,0
1,220,3748.714285714286,565.0,0,220,393,0
1,221,3515.0,566.0,0,221,366,0
1,222,3321.285714285714,567.4285714285714,0,222,389,0
1,223,1042.0,567.7142857142857,0,223,377,0
1,224,2516.0,574.0,0,224,381,0
1,225,1115.0,575.0,0,225,373,0
1,226,2857.5,578.5,0,226,360,0
1,227,2167.8333333333335,580.1666666666666,0,227,410,0
1,228,2479.0,580.0,0,228,396,0
1,229,3593.0,581.0,0,229,412,0
1,230,3553.6666666666665,582.3333333333334,0,230,376,0
1,231,2595.0,584.2857142857143,0,231,391,0
1,232,2287.5,591.5,0,232,419,0
1,233,2505.2,595.2,0,233,403,0
1,234,1237.5,597.5,0,234,400,0
1,235,2903.285714285714,599.0,0,235,418,0
1,236,2385.0,603.5,0,236,405,0
1,237,3652.8333333333335,604.1666666666666,0,237,425,0
1,238,1278.5,605.5,0,238,0,0
1,239,864.8,606.4,0,239,431,0
1,240,3666.8333333333335,607.1666666666666,0,240,427,0
1,241,1550.0,611.0,0,241,415,0
1,242,3839.5,611.5,0,242,436,0
1,243,1236.0,612.0,0,243,400,0
1,244,1578.5,613.5,0,244,434,0
1,245,1272.4285714285713,616.1428571428571,0,245,454,0
1,246,2079.0,616.0,0,246,0,0
1,247,3302.0,616.5,0,247,448,0
1,248,2873.5,617.0,0,248,418,0
1,249,3776.0,617.0,0,249,439,0
1,250,3882.5,616.5,0,250,436,0
1,251,2277.2,619.6,0,251,419,0
1,252,3668.0,621.7142857142857,0,252,427,0
1,253,958.6666666666666,622.3333333333334,0,253,424,0
1,254,1286.857142857143,623.7142857142857,0,254,0,0
1,255,1417.5,625.0,0,255,442,0
1,256,3316.6666666666665,627.3333333333334,0,256,448,0
1,257,3756.0,629.0,0,257,439,0
1,258,1351.0,629.2857142857143,0,258,0,0
1,259,2746.285714285714,630.8571428571429,0,259,457,0
1,260,1133.7142857142858,633.0,0,260,430,0
1,261,1462.6666666666667,632.3333333333334,0,261,437,0
1,262,3305.6666666666665,633.3333333333334,0,262,448,0
1,263,3656.0,634.2857142857143,0,263,435,0
1,264,913.2,635.0,0,264,0,9
1,265,1900.6666666666667,634.6666666666666,0,265,443,0
1,266,2171.3333333333335,635.6666666666666,0,266,473,0
1,267,3783.4,635.2,0,267,439,0
1,268,3837.8,636.4,0,268,436,0
1,269,3318.714285714286,637.0,0,269,448,0
1,270,1233.8333333333333,637.8333333333334,0,270,459,0
1,271,2133.6,640.2,0,271,455,0
1,272,2876.6,639.8,0,272,461,0
1,273,2922.714285714286,640.0,0,273,489,0
1,274,908.1428571428571,640.7142857142857,0,274,0,9
1,275,3775.0,640.5,0,275,439,0
1,276,1221.5,642.5,0,276,459,0
1,277,3308.8333333333335,642.1666666666666,0,277,448,0
1,278,1143.0,642.5,0,278,430,0
1,279,1210.0,643.0,0,279,459,0
1,280,2680.0,643.0,0,280,474,0
1,281,2779.714285714286,643.0,0,281,457,0
1,282,2580.0,644.0,0,282,476,0
1,283,900.6666666666666,645.3333333333334,0,283,0,7
1,284,1469.0,645.25,0,284,462,0
1,285,2898.3333333333335,646.3333333333334,0,285,461,0
1,286,1248.5,646.5,0,286,464,0
1,287,2126.5,648.5,0,287,455,0
1,288,3045.0,649.0,0,288,451,0
1,289,1232.0,650.0,0,289,459,0
1,290,3375.0,652.2857142857143,0,290,0,0
1,291,2363.5,653.5,0,291,468,0
1,292,2509.4,654.8,0,292,488,0
1,293,1113.0,654.5,0,293,0,0
1,294,887.0,657.0,0,294,0,10
1,295,2170.0,657.0,0,295,473,0
1,296,3431.8333333333335,657.1666666666666,0,296,0,0
1,297,1521.0,658.5,0,297,486,0
1,298,2114.0,658.5,0,298,455,0
1,299,3602.75,659.0,0,299,501,0
1,300,890.0,660.0,0,300,0,10
1,301,1463.0,663.25,0,301,502,0
1,302,3478.6,663.2,0,302,0,0
1,303,1328.5,665.0,0,303,495,0
1,304,1553.2857142857142,665.0,0,304,486,0
1,305,1032.0,668.5,0,305,513,0
1,306,1538.0,669.0,0,306,486,0
1,307,1112.0,669.5,0,307,531,0
1,308,1386.0,670.0,0,308,532,0
1,309,1387.2857142857142,675.0,0,309,532,0
1,310,1177.0,678.0,0,310,509,0
1,311,2712.0,678.5,0,311,496,0
1,312,1809.5,681.0,0,312,503,0
1,313,1469.0,682.2,0,313,516,0
1,314,1409.2,683.6,0,314,537,0
1,315,662.0,685.0,0,315,0,0
1,316,1378.0,684.5,0,316,532,0
1,317,2366.0,684.5,0,317,0,0
1,318,780.0,685.7142857142857,0,318,523,0
1,319,1440.1666666666667,686.8333333333334,0,319,502,0
1,320,2044.0,687.0,0,320,529,0
1,321,2631.0,689.5,0,321,0,0
1,322,1167.5,691.5,0,322,509,0
1,323,507.0,695.5,0,323,533,0
1,324,800.5,696.5,0,324,523,0
1,325,1149.0,695.7142857142857,0,325,509,0
1,326,1295.8,695.6,0,326,0,0
1,327,1933.5,696.0,0,327,527,0
1,328,2717.5,697.0,0,328,540,0
1,329,779.6666666666666,698.6666666666666,0,329,523,0
1,330,862.4,699.2,0,330,0,0
1,331,790.0,699.5,0,331,523,0
1,332,534.3333333333334,708.6666666666666,0,332,533,0
1,333,937.2857142857143,708.0,0,333,526,0
1,334,2443.8333333333335,709.1666666666666,0,334,572,0
1,335,1358.6666666666667,710.3333333333334,0,335,549,0
1,336,2134.5,710.5,0,336,535,0
1,337,1536.2857142857142,711.0,0,337,556,0
1,338,505.0,713.7142857142857,0,338,533,0
1,339,2448.0,714.5,0,339,572,0
1,340,3314.5,713.5,0,340,578,0
1,341,675.7142857142857,715.0,0,341,0,13
1,342,899.0,716.0,0,342,546,0
1,343,2016.2857142857142,717.5714285714286,0,343,529,0
1,344,2459.4,716.8,0,344,572,0
1,345,1864.0,718.7142857142857,0,345,567,0
1,346,656.8,724.4,0,346,0,13
1,347,678.5,724.5,0,347,0,13
1,348,2431.2,725.8,0,348,577,0
1,349,2705.4,727.2,0,349,540,0
1,350,384.8333333333333,730.1666666666666,0,350,586,0
1,351,3792.0,732.0,0,351,0,0
1,352,1718.5,732.5,0,352,607,0
