ImageNumber,ObjectNumber,Children_VIP_negative_alpha7_Count,Children_VIP_negative_beta2_Count,Children_VIP_positive_alpha7_Count,Children_VIP_positive_beta2_Count,Intensity_IntegratedIntensityEdge_VIP,Intensity_IntegratedIntensity_VIP,Intensity_LowerQuartileIntensity_VIP,Intensity_MADIntensity_VIP,Intensity_MassDisplacement_VIP,Intensity_MaxIntensityEdge_VIP,Intensity_MaxIntensity_VIP,Intensity_MeanIntensityEdge_VIP,Intensity_MeanIntensity_VIP,Intensity_MedianIntensity_VIP,Intensity_MinIntensityEdge_VIP,Intensity_MinIntensity_VIP,Intensity_StdIntensityEdge_VIP,Intensity_StdIntensity_VIP,Intensity_UpperQuartileIntensity_VIP,Location_CenterMassIntensity_X_VIP,Location_CenterMassIntensity_Y_VIP,Location_CenterMassIntensity_Z_VIP,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_VIP,Location_MaxIntensity_Y_VIP,Location_MaxIntensity_Z_VIP,Number_Object_Number,Parent_nuclei
1,1,1,1,0,0,0.13257038220763206,1.0433508811984211,0.0,0.0009765774011611938,6.690063757222198,0.0032501716632395983,0.004043641034513712,0.0016571297775954009,0.0014674414644140943,0.002471961546689272,0.0,0.0,0.0013943515197676387,0.0014610344588865591,0.0028992141596972942,3287.975517727755,7.843322217018242,0.0,3294.3459915611816,5.80028129395218,0,3298.0,2.0,0.0,1,1
1,2,1,1,0,0,0.3789120316505432,5.067811092128977,0.0026703288313001394,0.00015259021893143654,1.9179942124969172,0.0032959487289190292,0.003662165254354477,0.0023389631583366865,0.002658872556206179,0.002822919050231576,0.0,0.0,0.0010817130040999155,0.0007141594457136099,0.002960250247269869,3295.956205456478,29.807060120017223,0.0,3297.7250786988457,29.06558237145855,0,3280.0,20.0,0.0,2,2
1,3,1,1,0,0,0.3300679025705904,6.694636452244595,0.002334630349650979,0.0001678492408245802,2.854636708522277,0.0028992141596972942,0.003616388188675046,0.0019079069512750889,0.00230769956988783,0.0025024795904755592,0.0,0.0,0.0010738893620783191,0.0007681670761526062,0.0026703288313001394,3138.120383011991,67.3033667401358,0.0,3136.8831437435365,64.73078248879696,0,3134.0,59.0,0.0,3,3
1,4,1,1,0,0,0.22511634998954833,2.922407873906195,0.0,0.00041199359111487865,8.674910999785851,0.00317387655377388,0.004394598305225372,0.0015108479865070358,0.0016661390387150486,0.0025024795904755592,0.0,0.0,0.0013219867055574307,0.0013411110113859363,0.002731364918872714,3003.6944444407177,87.0768170399529,0.0,3003.0347776510835,78.42702394526796,0,2993.0,79.0,0.0,4,4
1,5,1,1,0,0,0.224551766179502,3.2449988548178226,0.0,0.0005188067443668842,9.518200787252864,0.00334172579459846,0.003662165254354477,0.0014122752589905787,0.0015093017929385221,0.0024109254591166973,0.0,0.0,0.0013458806228662092,0.0013313340018932742,0.0026703288313001394,2964.3571787963,96.05356882550161,0.0,2963.1474418604653,86.61255813953488,0,2983.0,90.0,0.0,5,5
1,6,1,1,0,0,0.547463187482208,9.431601432617754,0.0027008468750864267,0.00015259021893143654,0.5003496024535363,0.003570611122995615,0.0041962312534451485,0.0028075035255497845,0.002854600917862516,0.0028381780721247196,0.002151522086933255,0.0020141908898949623,0.0002269652791365876,0.0002341682187507641,0.002990768291056156,3290.3444782403917,77.82797929128655,0.0,3290.5898910411624,77.39194915254237,0,3297.0,85.0,0.0,6,6
1,7,1,1,0,0,0.49800869752652943,7.62874799547717,0.00254825665615499,0.00013733119703829288,0.15750378739129406,0.0033264667727053165,0.003479056991636753,0.002691938905548808,0.0026852333669402217,0.002685587853193283,0.002151522086933255,0.0018616006709635258,0.00023457711119314725,0.00021647096851059114,0.002822919050231576,3325.573787378738,100.58846084608462,0.0,3325.727912706793,100.62090813093981,0,3319.0,102.0,0.0,7,7
1,8,1,1,0,0,0.4332646676339209,6.846753641497344,0.0025024795904755592,0.00013733119703829288,0.01761844845219942,0.0033264667727053165,0.003524834057316184,0.002594399207388748,0.0026445552883342387,0.002639810787513852,0.0,0.0,0.00046072445976607247,0.00023139756085237915,0.002777141984552145,3055.0633493944756,87.61896759987698,0.0,3055.0672074159907,87.60177674777907,0,3062.0,73.0,0.0,8,8
1,9,1,1,0,0,0.2756542304996401,5.562996870605275,0.0,0.00041199359111487865,9.251524771022925,0.003036545356735587,0.0038147554732859135,0.0014136114384596928,0.0016318559315357216,0.002426184481009841,0.0,0.0,0.0012884962364066441,0.0012992334844012996,0.0026550698094069958,2836.7700639930217,130.29081578073956,0.0,2833.4804928131416,121.64388383690232,0,2830.0,118.0,0.0,9,9
1,10,1,1,0,0,0.48416876466944814,7.7051041417289525,0.00254825665615499,0.00013733119703829288,0.3691284115220649,0.0032806897070258856,0.004577706567943096,0.002689826470385823,0.0026922096931268178,0.002685587853193283,0.0020141908898949623,0.0020141908898949623,0.0002097032028376897,0.00022976035235761118,0.002822919050231576,3197.3829101256465,105.52662420899799,0.0,3197.1519916142556,105.23864430468204,0,3189.0,124.0,0.0,10,10
