ImageNumber,ObjectNumber,Children_alpha7_puncta_Count,Classify_negative,Classify_strongPositive,Classify_weakPositive,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,1,3,0,0,1,2479.3754775963876,315.4129906217437,0,1,128
1,2,1,1,0,0,2489.3011435832273,344.7763659466328,0,2,149
1,3,0,1,0,0,1883.1648854961832,518.1114503816793,0,3,319
1,4,0,1,0,0,1871.6711711711712,553.009009009009,0,4,364
1,5,0,1,0,0,1852.8259023354565,570.8690728945506,0,5,378
1,6,0,1,0,0,1803.8462041884816,597.1652486910995,0,6,420
1,7,1,1,0,0,894.576655859194,619.9745252431682,0,7,442
1,8,0,1,0,0,3150.703795892968,641.5463596764157,0,8,459
1,9,2,1,0,0,927.7404295051354,639.6367880485527,0,9,466
1,10,2,1,0,0,881.4967105263158,661.7565789473684,0,10,491
1,11,0,1,0,0,3173.0495088408643,689.196463654224,0,11,540
1,12,0,1,0,0,680.9854147675478,703.7028258887876,0,12,574
1,13,3,0,0,1,659.2588235294118,721.2682352941176,0,13,610
1,14,1,1,0,0,672.9495949594959,753.6201620162017,0,14,625
1,15,1,1,0,0,301.51758241758245,890.1851648351649,0,15,844
1,16,0,1,0,0,305.86082474226805,941.4922680412371,0,16,913
1,17,2,1,0,0,271.1009900990099,937.5054455445545,0,17,919
1,18,0,1,0,0,2338.111997940268,950.0926879505664,0,18,947
1,19,1,1,0,0,3156.3869153345177,965.6968620485494,0,19,952
1,20,0,1,0,0,284.16923076923075,961.1192307692307,0,20,962
1,21,0,1,0,0,4158.9995553579365,978.1898621609604,0,21,1004
1,22,0,1,0,0,4141.690550363448,998.582554517134,0,22,1010
1,23,2,1,0,0,3386.2785782901055,1032.1253602305476,0,23,1059
1,24,0,1,0,0,4097.069054367431,1024.1283174439577,0,24,1060
1,25,2,1,0,0,4167.677773570617,1036.4373343430518,0,25,1074
1,26,1,1,0,0,4115.444444444444,1063.3910891089108,0,26,1100
1,27,0,1,0,0,4143.230403800475,1085.7567695961995,0,27,1132
1,28,0,1,0,0,2338.8411478349985,1239.427107353318,0,28,1321
1,29,2,1,0,0,4101.393308376229,1500.6378100140385,0,29,1615
1,30,0,1,0,0,1982.0052931596092,1533.6172638436483,0,30,1657
