ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_beta2,Parent_VIP_positive_beta2
1,139,6097.5,502.5,0,139,96,0
1,140,5321.333333333333,503.3333333333333,0,140,88,0
1,141,6087.0,503.0,0,141,83,0
1,142,6092.333333333333,502.6666666666667,0,142,96,0
1,143,6098.5,503.5,0,143,96,0
1,144,5559.0,504.0,0,144,92,0
1,145,5593.666666666667,503.3333333333333,0,145,93,0
1,146,5658.8,503.4,0,146,0,0
1,147,5466.0,505.0,0,147,100,0
1,148,6117.5,505.5,0,148,96,0
1,149,5840.666666666667,505.6666666666667,0,149,98,0
1,150,5575.166666666667,507.1666666666667,0,150,93,0
1,151,5655.166666666667,506.8333333333333,0,151,0,0
1,152,5533.4,508.8,0,152,92,0
1,153,5914.5,508.0,0,153,113,0
1,154,5534.428571428572,510.0,0,154,92,0
1,155,5986.0,509.0,0,155,99,0
1,156,5457.5,511.5,0,156,100,0
1,157,5977.8,511.6,0,157,99,0
1,158,5588.0,512.0,0,158,93,0
1,159,5979.0,513.0,0,159,99,0
1,160,6006.5,513.0,0,160,101,0
1,161,5467.142857142857,516.2857142857143,0,161,100,0
1,162,5621.0,516.0,0,162,112,0
1,163,6022.0,517.0,0,163,101,0
1,164,5586.666666666667,516.6666666666666,0,164,93,0
1,165,5996.0,517.5,0,165,101,0
1,166,5468.666666666667,517.6666666666666,0,166,100,0
1,167,5998.0,518.0,0,167,101,0
1,168,5982.333333333333,519.0,0,168,99,0
1,169,5522.166666666667,519.8333333333334,0,169,106,0
1,170,5521.0,521.0,0,170,106,0
1,171,6019.0,522.0,0,171,101,0
1,172,5612.0,522.5,0,172,93,0
1,173,5533.4,526.2,0,173,106,0
1,174,5472.285714285715,528.5714285714286,0,174,100,0
1,175,5479.0,528.5,0,175,100,0
1,176,5452.5,534.5,0,176,105,0
1,177,5633.857142857143,533.2857142857143,0,177,112,0
1,178,6030.5,533.5,0,178,102,0
1,179,6112.0,534.5,0,179,115,0
1,180,6031.285714285715,535.0,0,180,103,0
1,181,6100.0,536.5,0,181,115,0
1,182,5668.5,539.0,0,182,112,0
1,183,5510.333333333333,542.8333333333334,0,183,108,0
1,184,5516.333333333333,543.3333333333334,0,184,108,0
1,185,6006.5,543.5,0,185,101,0
1,186,5672.333333333333,544.3333333333334,0,186,110,0
1,187,6007.75,544.25,0,187,101,0
1,188,6006.0,545.0,0,188,101,0
1,189,5570.0,547.5,0,189,104,0
1,190,5817.0,550.0,0,190,97,0
1,191,6021.0,549.7142857142857,0,191,118,0
1,192,5496.333333333333,551.3333333333334,0,192,121,0
1,193,6001.0,552.5,0,193,101,0
1,194,5419.0,555.0,0,194,119,0
1,195,5568.5,558.0,0,195,116,0
1,196,6100.333333333333,556.3333333333334,0,196,115,0
1,197,5827.0,557.5,0,197,0,0
1,198,5831.714285714285,559.4285714285714,0,198,0,0
1,199,5442.0,559.5,0,199,124,0
1,200,6048.0,561.0,0,200,120,0
1,201,6136.5,562.0,0,201,115,0
1,202,5426.0,563.0,0,202,119,0
1,203,5572.0,563.0,0,203,117,0
1,204,6136.5,564.5,0,204,115,0
1,205,5413.5,565.5,0,205,119,0
1,206,5413.5,567.0,0,206,119,0
1,207,5427.0,567.0,0,207,119,0
1,208,5497.5,567.0,0,208,121,0
1,209,5516.5,569.0,0,209,123,0
1,210,5540.0,570.0,0,210,116,0
1,211,5557.666666666667,570.6666666666666,0,211,116,0
1,212,5431.5,574.0,0,212,119,0
1,213,5430.666666666667,575.6666666666666,0,213,119,0
1,214,5494.666666666667,581.3333333333334,0,214,123,0
1,215,5645.5,581.0,0,215,126,0
1,216,5511.285714285715,582.0,0,216,123,0
1,217,5411.8,583.4,0,217,119,0
1,218,5643.5,582.5,0,218,126,0
1,219,6062.4,584.2,0,219,130,0
1,220,5645.4,586.8,0,220,126,0
1,221,6030.5,586.0,0,221,120,0
1,222,5467.666666666667,588.3333333333334,0,222,124,0
1,223,5421.0,589.0,0,223,119,0
1,224,5458.25,589.0,0,224,124,0
1,225,5464.5,589.5,0,225,124,0
1,226,6119.0,592.0,0,226,128,0
1,227,5464.2,594.4,0,227,124,0
1,228,5319.0,595.5,0,228,0,0
1,229,5414.666666666667,596.3333333333334,0,229,131,0
1,230,6022.0,598.0,0,230,140,0
1,231,5471.166666666667,600.0,0,231,124,0
1,232,5518.5,601.0,0,232,129,0
1,233,5407.5,602.0,0,233,131,0
1,234,5470.5,602.0,0,234,124,0
1,235,6000.8,601.6,0,235,149,0
1,236,6084.5,603.5,0,236,130,0
1,237,5555.285714285715,605.0,0,237,0,0
1,238,5581.6,605.2,0,238,141,0
1,239,5472.0,605.5,0,239,124,0
1,240,5478.166666666667,608.8333333333334,0,240,129,0
1,241,6138.0,608.0,0,241,145,0
1,242,5498.0,609.0,0,242,129,0
1,243,5477.0,610.0,0,243,129,0
1,244,6137.0,612.0,0,244,145,0
1,245,6144.0,611.5,0,245,145,0
1,246,5597.5,613.5,0,246,141,0
1,247,6008.666666666667,613.6666666666666,0,247,149,0
1,248,5625.0,617.5,0,248,146,0
1,249,5612.333333333333,618.5,0,249,133,0
1,250,5916.0,620.2857142857143,0,250,156,0
1,251,5579.0,623.0,0,251,141,0
1,252,6035.0,624.0,0,252,140,0
1,253,6134.0,624.4,0,253,145,0
1,254,5338.5,625.5,0,254,144,0
1,255,6036.666666666667,624.3333333333334,0,255,140,0
1,256,5592.0,626.5,0,256,141,0
1,257,5781.5,625.5,0,257,147,0
1,258,6035.285714285715,625.8571428571429,0,258,140,0
1,259,6101.0,630.0,0,259,132,0
1,260,5329.666666666667,632.3333333333334,0,260,153,0
1,261,6100.333333333333,631.8333333333334,0,261,132,0
1,262,5456.714285714285,633.4285714285714,0,262,154,0
1,263,5608.0,633.0,0,263,141,0
1,264,6064.0,633.75,0,264,150,0
1,265,6099.0,634.0,0,265,132,0
1,266,5355.0,635.0,0,266,151,0
1,267,6006.0,634.5,0,267,149,0
1,268,6064.0,635.0,0,268,150,0
1,269,5456.571428571428,635.4285714285714,0,269,154,0
1,270,6019.0,637.0,0,270,149,0
1,271,5357.0,638.0,0,271,151,0
1,272,5364.0,638.0,0,272,151,0
1,273,5405.0,639.0,0,273,148,0
1,274,5922.0,640.0,0,274,156,0
1,275,5380.285714285715,642.0,0,275,148,0
1,276,6044.5,641.0,0,276,150,0
1,277,5929.0,644.5,0,277,156,0
1,278,5930.6,644.2,0,278,156,0
1,279,6032.0,644.75,0,279,155,0
1,280,5394.8,646.4,0,280,148,0
1,281,5597.0,646.5,0,281,164,0
1,282,6031.8,646.4,0,282,155,0
1,283,6095.5,646.5,0,283,132,0
1,284,5318.0,648.0,0,284,153,0
1,285,5320.0,648.0,0,285,153,0
1,286,5394.5,648.0,0,286,161,0
1,287,5370.4,649.2,0,287,151,0
1,288,5341.0,651.7142857142857,0,288,153,0
1,289,5437.5,652.0,0,289,154,0
1,290,5360.0,653.0,0,290,151,0
1,291,5617.6,652.8,0,291,165,0
1,292,5310.4,654.2,0,292,153,0
1,293,5352.666666666667,654.3333333333334,0,293,151,0
1,294,5446.0,653.5714285714286,0,294,154,0
1,295,5625.5,654.5,0,295,165,0
1,296,5309.0,655.0,0,296,153,0
1,297,5643.0,654.5,0,297,163,0
1,298,5310.285714285715,656.8571428571429,0,298,153,0
1,299,5356.166666666667,659.8333333333334,0,299,161,0
1,300,5374.5,663.0,0,300,161,0
1,301,5393.0,663.0,0,301,161,0
1,302,5753.5,668.5,0,302,0,0
1,303,5567.5,670.5,0,303,168,0
1,304,5612.4,670.8,0,304,165,0
1,305,6060.0,671.0,0,305,171,0
1,306,5567.5,672.0,0,306,176,0
1,307,5583.6,672.2,0,307,174,0
1,308,6058.833333333333,672.1666666666666,0,308,171,0
1,309,5275.0,673.0,0,309,181,0
1,310,5612.0,676.0,0,310,165,0
1,311,5671.0,676.0,0,311,172,0
1,312,5961.5,676.5,0,312,179,0
1,313,5996.5,676.5,0,313,194,0
1,314,5990.0,678.0,0,314,194,0
1,315,5257.0,679.0,0,315,181,0
1,316,5497.0,680.0,0,316,187,0
1,317,5570.5,680.5,0,317,174,0
1,318,5684.0,682.0,0,318,166,0
1,319,5832.714285714285,682.0,0,319,0,0
1,320,6022.5,682.5,0,320,178,0
1,321,5490.0,683.0,0,321,187,0
1,322,6147.4,682.8,0,322,180,0
1,323,6127.5,684.0,0,323,180,0
1,324,5583.0,685.0,0,324,174,0
1,325,5627.333333333333,685.3333333333334,0,325,170,0
1,326,5628.666666666667,686.0,0,326,185,0
1,327,5584.5,685.5,0,327,174,0
1,328,5582.8,686.8,0,328,174,0
1,329,5356.428571428572,688.5714285714286,0,329,182,0
1,330,5661.5,687.5,0,330,172,0
1,331,5354.4,689.8,0,331,182,0
1,332,6145.333333333333,690.3333333333334,0,332,180,0
1,333,6144.0,690.5,0,333,180,0
1,334,5315.0,692.5,0,334,182,0
1,335,6023.5,694.0,0,335,189,0
1,336,5347.0,696.0,0,336,182,0
1,337,5317.0,697.0,0,337,182,0
1,338,5976.8,698.6,0,338,194,0
1,339,5501.0,700.0,0,339,187,0
1,340,5690.666666666667,700.3333333333334,0,340,175,0
1,341,5476.5,701.0,0,341,187,0
1,342,5905.8,701.6,0,342,193,0
1,343,6037.0,700.7142857142857,0,343,184,0
1,344,5911.5,703.0,0,344,193,0
1,345,5308.666666666667,703.1666666666666,0,345,197,0
1,346,5354.0,706.0,0,346,198,0
1,347,5975.0,706.1666666666666,0,347,194,0
1,348,5341.666666666667,707.0,0,348,198,0
1,349,5537.0,708.0,0,349,203,0
1,350,5924.833333333333,706.1666666666666,0,350,193,0
1,351,5333.0,708.0,0,351,198,0
1,352,5940.0,708.5,0,352,199,0
1,353,5344.0,709.0,0,353,198,0
1,354,5947.2,710.4,0,354,216,0
1,355,5371.0,711.0,0,355,198,0
1,356,5939.0,710.8,0,356,199,0
1,357,5542.142857142857,713.2857142857143,0,357,204,0
1,358,5333.5,713.0,0,358,198,0
1,359,5362.0,716.0,0,359,198,0
1,360,5363.5,716.5,0,360,208,0
1,361,5576.0,718.0,0,361,200,0
1,362,5330.0,719.0,0,362,210,0
1,363,5339.0,719.0,0,363,198,0
1,364,5337.5,720.0,0,364,198,0
1,365,6056.0,722.0,0,365,209,0
1,366,5456.5,724.0,0,366,195,0
1,367,5539.666666666667,726.6666666666666,0,367,204,0
1,368,6120.2,730.2,0,368,214,0
1,369,6088.666666666667,731.6666666666666,0,369,221,0
1,370,6002.0,734.7142857142857,0,370,237,0
1,371,5963.0,735.5,0,371,216,0
1,372,5495.833333333333,736.6666666666666,0,372,0,0
1,373,5497.0,737.0,0,373,0,0
1,374,5982.0,739.7142857142857,0,374,240,0
1,375,5559.0,741.2857142857143,0,375,232,0
1,376,5970.666666666667,740.3333333333334,0,376,216,0
1,377,5559.0,743.5,0,377,232,0
1,378,5994.666666666667,743.6666666666666,0,378,234,0
1,379,5559.0,745.25,0,379,232,0
1,380,5962.333333333333,746.3333333333334,0,380,216,0
1,381,6125.5,746.5,0,381,239,0
1,382,6127.0,747.0,0,382,239,0
1,383,5643.714285714285,750.4285714285714,0,383,233,0
1,384,5805.6,751.2,0,384,243,0
1,385,5333.0,752.0,0,385,241,0
1,386,6202.0,752.0,0,386,225,0
1,387,5570.0,754.2857142857143,0,387,232,0
1,388,5625.0,755.0,0,388,227,0
1,389,5993.5,756.0,0,389,234,0
1,390,6077.166666666667,756.1666666666666,0,390,221,0
1,391,5304.5,757.5,0,391,248,0
1,392,6004.0,757.0,0,392,237,0
1,393,5319.0,757.5,0,393,248,0
1,394,5629.333333333333,758.6666666666666,0,394,227,0
1,395,5718.0,758.5,0,395,219,0
1,396,5993.2,757.6,0,396,242,0
1,397,5629.5,760.0,0,397,227,0
1,398,6004.0,760.0,0,398,237,0
1,399,5847.0,761.0,0,399,244,0
1,400,6151.666666666667,760.6666666666666,0,400,239,0
1,401,6149.5,763.0,0,401,239,0
1,402,6204.714285714285,762.4285714285714,0,402,263,0
1,403,6167.0,764.0,0,403,235,0
1,404,6053.0,765.5,0,404,238,0
1,405,5382.333333333333,767.3333333333334,0,405,255,0
1,406,5739.666666666667,766.6666666666666,0,406,249,0
1,407,6002.0,767.0,0,407,251,0
1,408,5345.0,768.3333333333334,0,408,241,0
1,409,6079.666666666667,767.6666666666666,0,409,262,0
1,410,6013.5,769.0,0,410,251,0
1,411,6142.833333333333,768.0,0,411,239,0
1,412,5344.2,769.4,0,412,241,0
1,413,5798.5,770.0,0,413,243,0
1,414,5531.666666666667,770.6666666666666,0,414,232,0
1,415,6014.333333333333,770.1666666666666,0,415,251,0
1,416,6122.0,772.0,0,416,253,0
1,417,6126.0,772.0,0,417,253,0
1,418,6015.0,774.0,0,418,251,0
1,419,6097.0,773.5,0,419,257,0
1,420,6151.0,774.0,0,420,239,0
1,421,6048.0,775.0,0,421,260,0
1,422,6066.833333333333,775.6666666666666,0,422,262,0
1,423,5337.333333333333,776.3333333333334,0,423,254,0
1,424,6068.5,777.5,0,424,262,0
1,425,5292.0,779.5,0,425,266,0
1,426,5744.0,779.0,0,426,252,0
1,427,6042.0,780.0,0,427,260,0
1,428,5683.833333333333,781.1666666666666,0,428,267,0
1,429,5818.285714285715,782.0,0,429,247,0
1,430,6042.5,783.5,0,430,260,0
1,431,5842.0,784.0,0,431,265,0
1,432,6150.0,786.5,0,432,258,0
1,433,5317.5,788.0,0,433,271,0
1,434,5845.5,788.0,0,434,265,0
1,435,6182.2,789.4,0,435,263,0
1,436,6180.0,790.0,0,436,263,0
1,437,5865.0,791.0,0,437,265,0
1,438,6067.75,790.75,0,438,262,0
1,439,6070.0,791.0,0,439,262,0
1,440,6181.5,790.5,0,440,263,0
1,441,5309.2,792.4,0,441,266,0
1,442,6037.2,791.6,0,442,260,0
1,443,6111.8,791.6,0,443,275,0
1,444,5228.0,793.0,0,444,276,0
1,445,5302.0,793.0,0,445,266,0
1,446,5315.166666666667,793.0,0,446,271,0
1,447,5328.2,792.8,0,447,271,0
1,448,5853.0,793.0,0,448,265,0
1,449,6073.6,793.2,0,449,262,0
1,450,5296.0,795.0,0,450,266,0
1,451,5339.714285714285,796.0,0,451,268,0
1,452,6158.0,797.0,0,452,272,0
1,453,5361.8,797.8,0,453,268,0
1,454,6116.5,798.5,0,454,275,0
1,455,5116.6,799.8,0,455,289,0
1,456,5324.0,800.0,0,456,271,0
1,457,6076.0,802.0,0,457,262,0
1,458,5708.166666666667,804.1666666666666,0,458,270,0
1,459,5307.0,805.0,0,459,266,0
1,460,6104.428571428572,804.7142857142857,0,460,275,0
1,461,5231.0,807.2857142857143,0,461,276,0
1,462,5249.5,810.0,0,462,276,0
1,463,5297.0,810.5,0,463,266,0
1,464,5388.5,811.5,0,464,268,0
1,465,5249.5,811.5,0,465,276,0
1,466,5290.833333333333,812.8333333333334,0,466,290,0
1,467,6119.0,813.0,0,467,275,0
1,468,6094.5,815.5,0,468,275,0
1,469,5368.0,816.0,0,469,287,0
1,470,5482.4,815.8,0,470,282,0
1,471,6166.333333333333,816.6666666666666,0,471,272,0
1,472,5465.0,816.5,0,472,282,0
1,473,5906.0,818.0,0,473,295,0
1,474,5362.0,819.0,0,474,287,0
1,475,5775.2,819.4,0,475,284,0
1,476,5226.0,820.0,0,476,278,0
1,477,5285.0,820.0,0,477,290,0
1,478,5774.5,820.5,0,478,284,0
1,479,5261.0,823.0,0,479,290,0
1,480,5745.8,824.6,0,480,280,0
1,481,5979.0,825.5,0,481,308,0
1,482,5369.0,830.0,0,482,299,0
1,483,5411.833333333333,831.0,0,483,305,0
1,484,5413.833333333333,830.8333333333334,0,484,305,0
1,485,5404.0,832.0,0,485,305,0
1,486,5936.333333333333,831.6666666666666,0,486,283,0
