ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,1,5968.0,132.28571428571428,0,1,9,0
1,2,5966.166666666667,172.16666666666666,0,2,13,0
1,3,5951.5,177.0,0,3,13,0
1,4,5886.0,197.5,0,4,17,0
1,5,5657.5,219.5,0,5,15,0
1,6,5901.0,224.28571428571428,0,6,20,0
1,7,6001.0,226.0,0,7,19,0
1,8,5977.571428571428,239.71428571428572,0,8,24,0
1,9,5901.0,250.5,0,9,20,0
1,10,5876.0,250.5,0,10,21,0
1,11,5741.5,252.0,0,11,18,0
1,12,6017.0,258.0,0,12,25,0
1,13,5711.5,259.5,0,13,0,0
1,14,5904.0,261.0,0,14,30,0
1,15,6010.25,264.0,0,15,25,0
1,16,6018.5,268.0,0,16,25,0
1,17,6026.5,270.0,0,17,29,0
1,18,6009.0,276.5,0,18,25,0
1,19,6001.4,282.2,0,19,25,0
1,20,6007.0,282.0,0,20,25,0
1,21,5984.5,288.0,0,21,33,0
1,22,6005.333333333333,287.3333333333333,0,22,25,0
1,23,5960.285714285715,305.0,0,23,33,0
1,24,6013.2,317.6,0,24,36,0
1,25,5648.0,325.25,0,25,0,0
1,26,6049.0,326.0,0,26,36,0
1,27,5763.75,334.0,0,27,38,0
1,28,5509.0,361.5,0,28,48,0
1,29,5500.0,365.0,0,29,48,0
1,30,6064.5,367.0,0,30,0,0
1,31,5937.4,370.2,0,31,51,0
1,32,5928.5,372.0,0,32,51,0
1,33,6015.5,373.5,0,33,49,0
1,34,6036.333333333333,375.3333333333333,0,34,49,0
1,35,5947.5,390.5,0,35,51,0
1,36,6017.333333333333,393.3333333333333,0,36,49,0
1,37,5501.0,398.0,0,37,48,0
1,38,6025.166666666667,397.8333333333333,0,38,49,0
1,39,6084.0,410.0,0,39,60,0
1,40,5979.0,411.5,0,40,55,0
1,41,5666.166666666667,417.1666666666667,0,41,56,0
1,42,5650.142857142857,418.57142857142856,0,42,62,0
1,43,5649.333333333333,422.6666666666667,0,43,62,0
1,44,5822.0,423.5,0,44,61,0
1,45,6062.5,427.0,0,45,0,1
1,46,5858.5,429.5,0,46,59,0
1,47,5709.666666666667,431.3333333333333,0,47,65,0
1,48,5733.0,431.7142857142857,0,48,0,0
1,49,5573.0,433.2857142857143,0,49,64,0
1,50,6059.666666666667,436.3333333333333,0,50,0,1
1,51,6079.5,437.0,0,51,0,1
1,52,5814.0,438.5,0,52,61,0
1,53,5643.5,441.5,0,53,62,0
1,54,5659.0,448.5,0,54,62,0
1,55,6061.4,454.2,0,55,72,0
1,56,5668.666666666667,457.3333333333333,0,56,70,0
1,57,5623.333333333333,458.6666666666667,0,57,68,0
1,58,5817.0,459.0,0,58,74,0
1,59,5642.666666666667,461.3333333333333,0,59,71,0
1,60,5928.0,464.0,0,60,77,0
1,61,6052.666666666667,464.6666666666667,0,61,72,0
1,62,5647.5,470.0,0,62,62,0
1,63,5817.0,470.0,0,63,74,0
1,64,5598.75,471.0,0,64,79,0
1,65,5591.5,472.0,0,65,79,0
1,66,6073.5,477.5,0,66,81,0
1,67,5595.0,479.0,0,67,79,0
1,68,6049.5,480.0,0,68,72,0
1,69,5670.6,485.2,0,69,70,0
1,70,5786.0,487.5,0,70,0,0
1,71,5999.0,490.0,0,71,87,0
1,72,5663.833333333333,496.1666666666667,0,72,62,0
1,73,5326.833333333333,499.0,0,73,88,0
1,74,5979.0,502.0,0,74,99,0
1,75,6053.333333333333,502.3333333333333,0,75,95,0
1,76,5341.166666666667,502.8333333333333,0,76,88,0
1,77,5677.0,502.5,0,77,70,0
1,78,6111.333333333333,502.6666666666667,0,78,96,0
1,79,5361.5,505.5,0,79,84,0
1,80,5369.714285714285,505.0,0,80,84,0
1,81,5605.333333333333,504.6666666666667,0,81,93,0
1,82,6100.6,505.8,0,82,96,0
1,83,6113.0,509.0,0,83,96,0
1,84,5529.5,510.5,0,84,92,0
1,85,5628.5,513.0,0,85,112,0
1,86,5834.5,513.5,0,86,98,0
1,87,6099.4,513.8,0,87,96,0
1,88,5538.166666666667,515.3333333333334,0,88,92,0
1,89,5566.333333333333,516.3333333333334,0,89,93,0
1,90,5536.166666666667,517.8333333333334,0,90,106,0
1,91,5407.333333333333,520.3333333333334,0,91,0,0
1,92,5441.75,520.0,0,92,105,0
1,93,5546.0,521.0,0,93,92,0
1,94,5510.5,523.0,0,94,108,0
1,95,5542.6,522.8,0,95,106,0
1,96,5595.0,524.0,0,96,104,0
1,97,6012.5,525.5,0,97,101,0
1,98,5444.0,527.0,0,98,105,0
1,99,5469.0,527.5,0,99,100,0
1,100,6092.5,527.5,0,100,96,0
1,101,6088.0,527.5,0,101,107,0
1,102,5452.0,531.0,0,102,105,0
1,103,5533.333333333333,530.3333333333334,0,103,106,0
1,104,5647.5,532.0,0,104,112,0
1,105,5511.0,541.0,0,105,108,0
1,106,5610.0,543.2857142857143,0,106,112,0
1,107,5613.0,546.5,0,107,112,0
1,108,5628.666666666667,547.3333333333334,0,108,112,0
1,109,5577.333333333333,551.6666666666666,0,109,117,0
1,110,5416.0,554.0,0,110,119,0
1,111,5426.666666666667,559.3333333333334,0,111,119,0
1,112,5439.285714285715,559.0,0,112,119,0
1,113,5494.25,560.0,0,113,121,0
1,114,5537.0,563.0,0,114,116,0
1,115,5466.857142857143,564.2857142857143,0,115,124,0
1,116,5553.0,567.0,0,116,116,0
1,117,6082.666666666667,579.3333333333334,0,117,130,0
1,118,5417.5,580.0,0,118,119,0
1,119,5495.714285714285,580.0,0,119,123,0
1,120,5434.0,580.7142857142857,0,120,124,0
1,121,6037.0,581.25,0,121,120,0
1,122,5412.75,584.0,0,122,119,0
1,123,5424.0,589.5,0,123,119,0
1,124,5412.5,591.0,0,124,119,0
1,125,6061.0,592.0,0,125,130,0
1,126,6070.833333333333,593.8333333333334,0,126,130,0
1,127,5417.0,599.5,0,127,131,0
1,128,5405.0,602.3333333333334,0,128,131,0
