ImageNumber,ObjectNumber,Children_Cells_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,4127.011299435028,96.89265536723164,0,1
1,2,1,4003.092857142857,111.29285714285714,0,2
1,3,1,4049.2979414951246,111.95774647887323,0,3
1,4,1,3992.0991253644315,119.40233236151603,0,4
1,5,1,4021.387387387387,140.018018018018,0,5
1,6,1,4038.868902439024,148.0701219512195,0,6
1,7,1,4025.4942857142855,157.84,0,7
1,8,1,3903.929181929182,167.93406593406593,0,8
1,9,1,4130.828348504551,170.94928478543562,0,9
1,10,1,4170.692144373673,167.6751592356688,0,10
1,11,1,3986.5102564102563,175.43846153846152,0,11
1,12,1,3891.578767123288,185.18835616438355,0,12
1,13,1,4043.796638655462,186.6,0,13
1,14,1,3984.5220070422533,194.90052816901408,0,14
1,15,1,4151.004716981132,206.62735849056602,0,15
1,16,1,3988.6493256262042,216.0077071290944,0,16
1,17,1,4035.9518518518516,213.02407407407406,0,17
1,18,1,4143.89802130898,216.15068493150685,0,18
1,19,1,4047.9625292740047,222.9695550351288,0,19
1,20,1,4131.019607843137,228.35294117647058,0,20
1,21,1,4116.396963123644,231.80477223427332,0,21
1,22,1,3934.8423423423424,232.25225225225225,0,22
1,23,1,3634.787535410765,241.02266288951841,0,23
1,24,1,4099.244318181818,234.3721590909091,0,24
1,25,1,4087.509060955519,242.1993410214168,0,25
1,26,1,3975.615625,246.7625,0,26
1,27,1,3947.4427083333335,242.578125,0,27
1,28,1,4130.5142857142855,242.72857142857143,0,28
1,29,1,3933.891666666667,245.58333333333334,0,29
1,30,1,3992.360294117647,252.67156862745097,0,30
1,31,1,3598.0,254.4816326530612,0,31
1,32,1,3613.0040650406504,252.1260162601626,0,32
1,33,1,3938.8120805369126,256.56375838926175,0,33
1,34,1,3667.7318007662834,258.5067049808429,0,34
1,35,1,4075.3313840155947,262.7933723196881,0,35
1,36,1,3562.6486796785302,274.31687715269805,0,36
1,37,1,3982.5291005291006,264.27513227513225,0,37
1,38,1,4054.750847457627,265.9457627118644,0,38
1,39,1,4107.256198347108,273.5358126721763,0,39
1,40,1,3996.5690235690236,274.8316498316498,0,40
1,41,1,3754.7764505119453,286.48464163822524,0,41
1,42,1,3737.887323943662,286.0469483568075,0,42
1,43,1,4110.494791666667,287.90625,0,43
1,44,1,3787.279922779923,292.45752895752895,0,44
1,45,1,3573.2,290.64102564102564,0,45
1,46,1,4004.85201793722,292.1479820627803,0,46
1,47,1,3912.8895899053628,291.8454258675079,0,47
1,48,1,3931.83286908078,292.10863509749305,0,48
1,49,1,4017.3861892583122,297.29667519181584,0,49
1,50,1,3467.953488372093,302.9922480620155,0,50
1,51,1,3904.4081272084804,309.2243816254417,0,51
1,52,1,3889.472392638037,308.3558282208589,0,52
1,53,1,3792.6941176470586,308.54117647058825,0,53
1,54,1,3987.4376470588236,313.0705882352941,0,54
1,55,1,3647.2298387096776,317.6774193548387,0,55
1,56,1,3424.910746812386,316.3624772313297,0,56
1,57,1,3916.1955922865013,320.4517906336088,0,57
1,58,1,3432.761111111111,327.1666666666667,0,58
1,59,1,4169.569230769231,328.53846153846155,0,59
1,60,1,3731.69262295082,334.9282786885246,0,60
1,61,1,3634.0657276995307,328.9765258215962,0,61
1,62,1,3986.1820388349515,329.90776699029124,0,62
1,63,1,4144.8452380952385,330.4047619047619,0,63
1,64,1,3396.709796672828,331.55452865064694,0,64
1,65,1,3759.677536231884,332.6548913043478,0,65
1,66,1,4095.2747093023254,328.2296511627907,0,66
1,67,1,4109.804455445545,333.7277227722772,0,67
1,68,1,3352.14465408805,346.8867924528302,0,68
1,69,1,4157.3185840707965,338.9587020648967,0,69
1,70,1,3742.0112359550562,347.1741573033708,0,70
1,71,1,3364.4704142011833,353.5739644970414,0,71
1,72,1,3617.3541666666665,358.1602564102564,0,72
1,73,1,3675.8980099502487,357.2002487562189,0,73
1,74,1,3630.5794621026894,363.4596577017115,0,74
1,75,1,4056.4809264305177,359.2098092643052,0,75
1,76,1,3974.5180722891564,365.47676419965575,0,76
1,77,1,3286.8584474885843,372.70319634703196,0,77
1,78,1,3514.345047923323,367.38338658146967,0,78
1,79,1,3722.838768115942,377.8822463768116,0,79
1,80,1,3277.201550387597,381.5348837209302,0,80
1,81,1,3581.798401420959,382.1190053285968,0,81
1,82,1,3994.3380281690143,384.5549295774648,0,82
1,83,1,3219.3739130434783,386.2173913043478,0,83
1,84,1,3286.883211678832,386.1824817518248,0,84
1,85,1,3961.467289719626,387.0373831775701,0,85
1,86,1,3734.916923076923,388.3107692307692,0,86
1,87,1,3399.541841004184,391.6338912133891,0,87
1,88,1,3945.5859872611463,397.7579617834395,0,88
1,89,1,4083.6243654822333,405.83248730964465,0,89
1,90,1,3814.0152671755727,411.0381679389313,0,90
1,91,1,3932.188612099644,412.56227758007117,0,91
1,92,1,4055.83185840708,409.46017699115043,0,92
1,93,1,3159.4373297002726,411.6798365122616,0,93
1,94,1,4009.217391304348,409.5752508361204,0,94
1,95,1,4070.2335164835163,408.6675824175824,0,95
1,96,1,3562.8288159771755,418.5691868758916,0,96
1,97,1,3696.9837398373984,413.6361788617886,0,97
1,98,1,3944.743002544529,420.2264631043257,0,98
1,99,1,4152.295302013423,423.0134228187919,0,99
1,100,1,3634.7971014492755,422.84057971014494,0,100
1,101,1,3361.292565947242,431.58153477218224,0,101
1,102,1,3133.328703703704,439.0138888888889,0,102
1,103,1,3147.583783783784,441.5891891891892,0,103
1,104,1,3233.9609375,441.953125,0,104
1,105,1,3794.6722222222224,443.1722222222222,0,105
1,106,1,3056.709401709402,444.3076923076923,0,106
1,107,1,3082.2729591836733,449.3201530612245,0,107
1,108,1,3104.7258687258686,450.8918918918919,0,108
1,109,1,3121.8947368421054,447.9046052631579,0,109
1,110,1,3996.3462033462033,455.22908622908625,0,110
1,111,1,3226.6045380875203,456.9837925445705,0,111
1,112,1,3331.890672016048,444.9939819458375,0,112
1,113,1,3655.5442561205273,450.7598870056497,0,113
1,114,1,3140.0615942028985,453.65942028985506,0,114
1,115,1,3298.2818181818184,452.3545454545455,0,115
1,116,1,3864.3333333333335,453.23781676413256,0,116
1,117,1,4029.0775862068967,456.7068965517241,0,117
1,118,1,3207.9790322580643,453.5258064516129,0,118
1,119,1,3012.805750350631,468.8695652173913,0,119
1,120,1,4029.903743315508,470.9197860962567,0,120
1,121,1,4009.212962962963,471.05555555555554,0,121
1,122,1,3199.9668874172185,472.25165562913907,0,122
1,123,1,3057.388961892247,482.9605781865966,0,123
1,124,1,3216.2161016949153,476.81779661016947,0,124
1,125,1,3040.3629764065336,477.3157894736842,0,125
1,126,1,2995.2818532818533,483.5328185328185,0,126
1,127,1,3139.0944881889764,482.87992125984255,0,127
1,128,1,3527.877551020408,496.3413729128015,0,128
1,129,1,3484.2274247491637,489.74247491638795,0,129
1,130,1,3148.524804177546,494.8668407310705,0,130
1,131,1,3932.2790346907996,495.7812971342383,0,131
1,132,1,2994.716242661448,496.36399217221134,0,132
1,133,1,3423.5773480662983,499.45303867403317,0,133
1,134,1,3440.921606118547,492.4827915869981,0,134
1,135,1,4156.5453400503775,496.15994962216627,0,135
1,136,1,3465.392568659128,501.50726978998387,0,136
1,137,1,3488.916349809886,505.3231939163498,0,137
1,138,1,3918.77304964539,508.080378250591,0,138
1,139,1,3367.5941499085925,500.7477148080439,0,139
1,140,1,4066.0251572327043,509.47798742138366,0,140
1,141,1,3390.6813294232647,513.7487781036168,0,141
1,142,1,4075.9786324786323,513.457264957265,0,142
1,143,1,3475.6543209876545,515.395061728395,0,143
1,144,1,4017.9899497487436,512.3316582914573,0,144
1,145,1,3016.01108033241,509.30609418282546,0,145
1,146,1,3165.8466453674123,516.3674121405751,0,146
1,147,1,3245.8090737240077,518.1455576559546,0,147
1,148,1,3029.3980099502487,519.6293532338309,0,148
1,149,1,3554.788501026694,521.4106776180698,0,149
1,150,1,3182.9498525073745,526.858407079646,0,150
1,151,1,4021.5621693121693,527.0542328042328,0,151
1,152,1,2848.798969072165,528.9896907216495,0,152
1,153,1,4090.1837209302325,527.8813953488373,0,153
1,154,1,2962.9169329073484,531.1884984025559,0,154
1,155,1,4839.724576271186,534.1737288135594,0,155
1,156,1,3517.2599337748343,529.7400662251656,0,156
1,157,1,3552.130177514793,534.4319526627219,0,157
1,158,1,3168.032786885246,533.1381733021077,0,158
1,159,1,2951.4656862745096,530.3063725490196,0,159
