ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,1,4688.5,36.0,0,1,0,0
1,2,4666.833333333333,195.83333333333334,0,2,0,0
1,3,4675.5,207.5,0,3,0,0
1,4,4718.0,210.5,0,4,0,0
1,5,4750.666666666667,259.3333333333333,0,5,0,0
1,6,4117.5,400.5,0,6,0,0
1,7,3937.0,404.0,0,7,91,0
1,8,4014.0,430.0,0,8,94,0
1,9,4044.3333333333335,451.3333333333333,0,9,117,0
1,10,3958.0,483.0,0,10,131,0
1,11,3972.5,485.0,0,11,0,0
1,12,3972.5,487.0,0,12,0,0
1,13,3906.0,496.0,0,13,138,0
1,14,3955.5,499.5,0,14,131,0
1,15,4166.0,500.5,0,15,135,0
1,16,4079.5,515.5,0,16,142,0
1,17,4081.5,519.5,0,17,153,0
1,18,3938.5,520.5,0,18,131,0
1,19,4010.0,532.0,0,19,151,0
1,20,3930.0,533.0,0,20,138,0
1,21,4100.666666666667,542.6666666666666,0,21,153,0
1,22,3998.714285714286,544.8571428571429,0,22,163,0
1,23,3981.5,552.0,0,23,192,0
1,24,3930.3333333333335,557.3333333333334,0,24,196,0
1,25,4082.5,560.5,0,25,153,0
1,26,3976.5,573.0,0,26,192,0
1,27,4814.0,583.0,0,27,0,0
1,28,3831.5,592.5,0,28,0,0
1,29,3571.1666666666665,606.1666666666666,0,29,0,0
1,30,3993.0,608.0,0,30,207,0
1,31,3998.0,612.0,0,31,0,0
1,32,3999.0,617.0,0,32,0,0
1,33,4007.285714285714,619.0,0,33,0,0
1,34,3982.5,622.5,0,34,245,0
1,35,3642.5,631.5,0,35,0,0
1,36,3979.5,633.0,0,36,245,0
1,37,3512.3333333333335,638.3333333333334,0,37,220,0
1,38,4087.0,638.7142857142857,0,38,0,0
1,39,4813.0,639.0,0,39,0,0
1,40,3680.5,640.5,0,40,0,0
1,41,3832.3333333333335,640.6666666666666,0,41,0,0
1,42,3625.5,642.0,0,42,0,0
1,43,4820.0,656.7142857142857,0,43,0,0
1,44,4046.5,657.5,0,44,0,0
1,45,3495.0,663.0,0,45,0,0
1,46,3651.4,662.8,0,46,0,0
1,47,4845.5,665.5,0,47,0,0
1,48,3515.0,667.5,0,48,277,0
1,49,4136.5,668.5,0,49,0,0
1,50,4075.6666666666665,669.3333333333334,0,50,0,0
1,51,3546.0,670.0,0,51,259,0
1,52,4067.0,671.5,0,52,0,0
1,53,3560.4,676.2,0,53,259,0
1,54,3619.3333333333335,685.6666666666666,0,54,0,0
1,55,3529.0,688.0,0,55,277,0
1,56,3932.5,687.5,0,56,290,0
1,57,3515.0,694.5,0,57,277,0
1,58,3686.5,699.5,0,58,301,0
1,59,4828.5,704.5,0,59,0,0
1,60,3682.5,714.5,0,60,301,0
1,61,4863.285714285715,725.0,0,61,340,0
1,62,3320.0,727.0,0,62,334,0
1,63,3319.0,728.2857142857143,0,63,334,0
1,64,3833.1666666666665,731.1666666666666,0,64,321,0
1,65,3464.0,735.0,0,65,289,0
1,66,3327.3333333333335,741.6666666666666,0,66,334,0
1,67,3318.0,748.5,0,67,334,0
1,68,3962.5,748.5,0,68,385,0
1,69,3422.0,752.5,0,69,0,0
1,70,3331.0,753.5,0,70,334,0
1,71,4864.5,755.5,0,71,340,0
1,72,4011.0,763.5,0,72,375,0
1,73,3464.5,768.5,0,73,366,0
1,74,3434.0,770.0,0,74,0,0
1,75,4009.714285714286,770.0,0,75,375,0
1,76,3450.25,772.0,0,76,366,0
1,77,4864.0,773.5,0,77,365,0
1,78,3939.1666666666665,776.1666666666666,0,78,384,0
1,79,3468.5,779.0,0,79,366,0
1,80,3208.5,787.5,0,80,380,0
1,81,4855.0,787.5,0,81,365,0
1,82,3207.0,788.5,0,82,380,0
1,83,3928.6666666666665,787.6666666666666,0,83,384,0
1,84,3457.5,789.0,0,84,402,0
1,85,3434.4,798.2,0,85,420,0
1,86,3940.1666666666665,800.1666666666666,0,86,384,0
1,87,3466.4285714285716,805.1428571428571,0,87,402,0
1,88,4872.5,805.0,0,88,365,0
1,89,3612.0,807.7142857142857,0,89,423,0
1,90,3999.5,810.5,0,90,393,0
1,91,3298.5,813.5,0,91,428,0
1,92,3546.5,813.5,0,92,452,0
1,93,3491.0,815.5,0,93,415,0
1,94,4021.5,824.0,0,94,397,0
1,95,4052.5,824.0,0,95,435,0
1,96,3179.0,826.2857142857143,0,96,0,0
1,97,3439.0,828.5,0,97,420,0
1,98,4021.714285714286,828.0,0,98,397,0
1,99,4872.5,839.5,0,99,441,0
1,100,3739.6666666666665,842.6666666666666,0,100,446,0
1,101,3566.3333333333335,844.6666666666666,0,101,452,0
1,102,3194.4285714285716,845.7142857142857,0,102,499,0
1,103,3473.0,845.0,0,103,415,0
1,104,3446.25,846.75,0,104,420,0
1,105,3196.0,848.2857142857143,0,105,499,0
1,106,3230.714285714286,849.0,0,106,467,0
1,107,3220.0,849.75,0,107,467,0
1,108,3477.2,850.4,0,108,487,0
1,109,3194.0,851.0,0,109,499,0
1,110,3213.5,851.0,0,110,499,0
1,111,4907.5,853.5,0,111,443,0
1,112,3943.6,855.2,0,112,432,0
1,113,3184.5,856.5,0,113,499,0
1,114,3192.6,856.2,0,114,499,0
1,115,3913.5,855.5,0,115,0,0
1,116,3961.3333333333335,858.3333333333334,0,116,480,0
1,117,3151.285714285714,859.8571428571429,0,117,498,0
1,118,3948.5,859.5,0,118,496,0
1,119,3186.0,861.0,0,119,499,0
1,120,3852.1666666666665,861.0,0,120,0,0
1,121,3125.5,864.5,0,121,482,0
1,122,3213.714285714286,864.0,0,122,499,0
1,123,3179.4285714285716,865.2857142857143,0,123,510,0
1,124,3956.6,868.2,0,124,496,0
1,125,3093.4,868.8,0,125,482,0
1,126,3973.5,870.5,0,126,480,0
1,127,4044.3333333333335,870.6666666666666,0,127,490,0
1,128,3252.5,872.0,0,128,467,0
1,129,3219.285714285714,875.0,0,129,499,0
1,130,3441.285714285714,874.0,0,130,0,0
1,131,3465.0,874.7142857142857,0,131,487,0
1,132,3205.8333333333335,877.1666666666666,0,132,499,0
1,133,3150.0,878.0,0,133,498,0
1,134,3922.6666666666665,878.6666666666666,0,134,0,0
1,135,3985.0,885.0,0,135,502,0
1,136,3161.75,889.0,0,136,498,0
1,137,3479.0,889.5,0,137,487,0
1,138,3393.0,890.0,0,138,509,0
1,139,3137.6,898.2,0,139,537,0
1,140,3150.5,899.5,0,140,498,0
1,141,3942.0,899.5,0,141,522,0
1,142,3183.5,900.0,0,142,510,0
1,143,3059.0,901.5,0,143,508,0
1,144,3473.0,907.0,0,144,0,0
1,145,3982.5,909.0,0,145,543,0
1,146,3157.6666666666665,911.3333333333334,0,146,571,0
1,147,3467.5,923.0,0,147,0,0
1,148,3168.3333333333335,933.3333333333334,0,148,571,0
1,149,3142.0,942.5,0,149,613,0
1,150,3108.8333333333335,947.8333333333334,0,150,617,0
1,151,3124.1428571428573,949.2857142857143,0,151,613,0
1,152,3160.0,952.2857142857143,0,152,613,0
1,153,3134.6666666666665,954.3333333333334,0,153,613,0
1,154,3921.5,957.5,0,154,650,0
1,155,3172.0,959.0,0,155,634,0
1,156,3947.3333333333335,959.3333333333334,0,156,650,0
1,157,3998.1666666666665,959.8333333333334,0,157,0,0
1,158,3040.3333333333335,962.3333333333334,0,158,0,0
1,159,3183.4,962.8,0,159,635,0
1,160,3103.6666666666665,965.3333333333334,0,160,617,0
1,161,3991.0,972.0,0,161,0,0
1,162,4135.5,972.5,0,162,655,0
1,163,3103.5,974.0,0,163,617,0
1,164,3984.0,973.5,0,164,0,0
1,165,3063.0,975.5,0,165,0,0
1,166,3181.5,975.5,0,166,663,0
1,167,3210.25,978.75,0,167,664,0
1,168,3196.714285714286,979.0,0,168,663,0
1,169,4125.333333333333,984.3333333333334,0,169,681,0
1,170,3528.0,986.5,0,170,667,0
1,171,3919.0,985.5,0,171,677,0
1,172,4933.0,986.2857142857143,0,172,0,0
1,173,3184.5,987.0,0,173,663,0
1,174,3206.0,987.0,0,174,664,0
1,175,3203.0,988.0,0,175,664,0
1,176,3880.5,990.5,0,176,683,0
1,177,3188.5,992.5,0,177,663,0
1,178,3822.8333333333335,992.8333333333334,0,178,0,0
1,179,3446.5,994.0,0,179,713,0
1,180,3992.3333333333335,999.3333333333334,0,180,0,0
1,181,4086.0,998.5,0,181,701,0
1,182,3159.0,1001.2857142857143,0,182,722,0
1,183,3196.0,1003.5,0,183,722,0
1,184,3163.0,1005.2857142857143,0,184,722,0
1,185,3228.4,1006.2,0,185,712,0
1,186,4252.142857142857,1006.4285714285714,0,186,0,0
1,187,3927.714285714286,1010.0,0,187,723,0
1,188,3889.0,1010.5,0,188,683,0
1,189,4245.8,1012.0,0,189,0,0
1,190,3089.5,1015.0,0,190,671,0
1,191,4931.5,1016.5,0,191,751,0
1,192,4003.0,1019.2857142857143,0,192,0,0
1,193,3220.25,1020.0,0,193,697,0
1,194,3699.25,1021.0,0,194,0,0
1,195,3169.4,1026.8,0,195,748,0
1,196,3167.0,1030.0,0,196,748,0
1,197,3210.8333333333335,1032.1666666666667,0,197,771,0
1,198,3987.0,1033.5,0,198,750,0
1,199,3787.75,1035.0,0,199,792,0
1,200,3151.0,1036.0,0,200,747,0
1,201,3189.0,1036.0,0,201,759,0
1,202,3045.0,1039.2857142857142,0,202,0,0
1,203,3205.2,1040.4,0,203,771,0
1,204,3787.2,1041.6,0,204,807,0
1,205,4297.4,1039.8,0,205,0,0
1,206,3293.285714285714,1044.0,0,206,763,0
1,207,3165.8333333333335,1045.0,0,207,748,0
1,208,3954.0,1046.5,0,208,723,0
