ImageNumber,ObjectNumber,Children_alpha7_puncta_Count,Classify_negative,Classify_strongPositive,Classify_weakPositive,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,45,0,1,0,0,5748.008424008424,1510.2106002106002,0,45,1659
1,46,0,1,0,0,5522.295356037152,1500.2433436532508,0,46,1669
1,47,0,1,0,0,5553.558032282859,1514.6064565718677,0,47,1674
1,48,0,1,0,0,5622.9795918367345,1509.3877551020407,0,48,1676
1,49,0,1,0,0,5649.901824034335,1521.7263948497855,0,49,1694
1,50,0,1,0,0,5606.839137645108,1525.0630182421228,0,50,1698
1,51,0,1,0,0,5625.266968325792,1536.3122171945702,0,51,1731
1,52,0,1,0,0,5453.4049331963,1530.782117163412,0,52,1736
1,53,0,1,0,0,5515.188194710617,1546.087773093139,0,53,1752
1,54,0,1,0,0,5609.886164623467,1546.8353765323993,0,54,1753
1,55,0,1,0,0,5670.899607403253,1556.8031407739763,0,55,1789
1,56,0,1,0,0,5419.097272727273,1559.2518181818182,0,56,1792
1,57,0,1,0,0,5446.878312601406,1564.7214710654407,0,57,1798
1,58,0,1,0,0,5550.605738575983,1560.009564293305,0,58,1804
1,59,0,1,0,0,5693.198391420911,1569.0455764075068,0,59,1805
1,60,0,1,0,0,5625.447401774398,1573.8546683565694,0,60,1822
1,61,0,1,0,0,5797.372012469692,1560.7273986837547,0,61,1827
1,62,0,1,0,0,5808.201447527141,1594.9270205066346,0,62,1878
1,63,0,1,0,0,5553.690829694323,1585.8681222707423,0,63,1882
1,64,0,1,0,0,5504.494704992436,1590.0491679273828,0,64,1892
1,65,0,1,0,0,5534.898686679175,1601.9812382739212,0,65,1898
1,66,0,1,0,0,5515.494736842105,1611.4484210526316,0,66,1917
1,67,0,1,0,0,5560.493543758967,1612.4705882352941,0,67,1920
1,68,0,1,0,0,5419.342975206611,1617.3114199849738,0,68,1936
1,69,0,1,0,0,5444.288483466363,1616.2474344355758,0,69,1941
1,70,0,1,0,0,5926.236583522298,1609.8125472411186,0,70,1942
1,71,0,1,0,0,5480.470634920635,1619.1920634920634,0,71,1963
1,72,0,1,0,0,5587.520681265207,1613.706812652068,0,72,1967
1,73,0,1,0,0,5866.371587030717,1630.0866040955632,0,73,1970
1,74,0,1,0,0,5821.354767994154,1631.6587504567044,0,74,1975
1,75,0,1,0,0,5951.796221322537,1626.3886639676114,0,75,1981
1,76,0,1,0,0,5616.008064516129,1626.8959677419355,0,76,1986
1,77,0,1,0,0,5904.013134851139,1631.1042031523643,0,77,1987
1,78,0,1,0,0,5472.190094683176,1645.7734887108522,0,78,1990
1,79,0,1,0,0,5577.214216163583,1640.7809152872444,0,79,1993
1,80,0,1,0,0,5534.677685950413,1641.3452708907255,0,80,2005
